Country,Capital City,Latitude,Longitude,Column1,Zoom,Column2,,,,
,,,,,,,,,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",10053482.71
,,,,,,,,,Tonga,720
,,,,,,,,,South Asia (IDA & IBRD),3347010
,,,,,,,,,Sub-Saharan Africa (IDA & IBRD countries),23890863.23
,,,,,,,,,Trinidad and Tobago,5130
,,,,,,,,,Tunisia,155360
,,,,,,,,,Turkiye,769630
,,,,,,,,,Tuvalu,30
,,,,,,,,,Tanzania,885800
,,,,,,,,,Uganda,200520
,,,,,,,,,Ukraine,579400
,,,,,,,,,Upper middle income,43654745.93
,,,,,,,,,Uruguay,175020
,,,,,,,,,United States,9147420
,,,,,,,,,Uzbekistan,440652
,,,,,,,,,St. Vincent and the Grenadines,390
,,,,,,,,,"Venezuela, RB",882050
,,,,,,,,,British Virgin Islands,150
,,,,,,,,,Virgin Islands (U.S.),350
,,,,,,,,,Viet Nam,313429
,,,,,,,,,Vanuatu,12190
,,,,,,,,,World,129718826.2
,,,,,,,,,Samoa,2780
,,,,,,,,,Kosovo,
,,,,,,,,,"Yemen, Rep.",527970
,,,,,,,,,South Africa,1213090
,,,,,,,,,Zambia,743390
,,,,,,,,,Zimbabwe,386850
